 "topic_label" , "lecture" , "lab" , "fromoutline" , "fromlecture" , "fromlab" , "uri" ,
 "Concordia University" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Concordia_University" ,
 "Concordia_University" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Concordia_University" ,
 "Concordia_University" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Concordia_University" ,
 "emergency_medical_services" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Emergency_medical_services" ,
 "emergency_medical_services" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Emergency_medical_services" ,
 "Moodle" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Moodle" ,
 "Moodle" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/Moodle" ,
 "iso" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/SOEN6841/outline.pdf" ,  ,  , "http://dbpedia.org/resource/International_Organization_for_Standardization" ,
 "iso" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/outline.pdf" ,  ,  , "http://dbpedia.org/resource/International_Organization_for_Standardization" ,
 "mathematician" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Mathematics" ,
 "David_Wood" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Straitjacket_Fits" ,
 "Wikidata" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Wikidata" ,
 "Budapest" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Budapest" ,
 "TBL" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Tampa_Bay_Lightning" ,
 "Semantic_Web" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Semantic_Web" ,
 "public_knowledge" , "http://example.org/schema#/COMP6741-l5" ,  ,  , "file:///D:/Chatbot/Dataset/CoursesDataset/COMP6741/lecture/5.Linked_Open_Data_and_Applications/slides05.pdf" ,  , "http://dbpedia.org/resource/Public_Knowledge" ,
